电影名,英文名,又名,导演/主演,年份/国别/类型,评论人数,评分
我爱你,/???? ?????,/?爱你  /  爱，是一生相伴(台),导演: 秋昌民 Chang-min Choo???主演: 宋在河 Jae-ho Song / 李顺载 Soon-jae...,2011?/?韩国?/?剧情 爱情,66436人评价,9
穆赫兰道,/?Mulholland Dr.,/?穆荷兰大道(台)  /  失忆大道(港),导演: 大卫·林奇 David Lynch???主演: 娜奥米·沃茨 Naomi Watts / 劳拉·哈...,2001?/?法国 美国?/?剧情 悬疑 惊悚,257700人评价,8.3
叫我第一名,/?Front of the Class,/?站在教室前  /  讲台前的我,导演: 彼得·维纳 Peter Werner???主演: 詹姆斯·沃克 James Wolk / 特里特·...,2008?/?美国?/?剧情 传记,118818人评价,8.6
枪火,/?鎗火,/?The Mission,导演: 杜琪峰 Johnnie To???主演: 吴镇宇 Francis Ng / 任达华 Simon Yam / ...,1999?/?香港?/?剧情 动作 犯罪,111421人评价,8.6
荒岛余生,/?Cast Away,/?浩劫重生(台)  /  劫后重生(港),导演: 罗伯特·泽米吉斯 Robert Zemeckis???主演: 汤姆·汉克斯 Tom Hanks / ...,2000?/?美国?/?冒险 剧情,152747人评价,8.5
2001太空漫游,/?2001: A Space Odyssey,/?2001：星际漫游  /  2001：太空奥德赛,导演: 斯坦利·库布里克 Stanley Kubrick???主演: 凯尔·杜拉 Keir Dullea / ...,1968?/?英国 美国?/?科幻 惊悚 冒险,108422人评价,8.7
上帝也疯狂,/?The Gods Must Be Crazy,/?众神也疯狂 (上)  /  上帝一定发疯了 (上),导演: Jamie Uys???主演: Marius Weyers / Sandra Prinsloo / N!xau,1980?/?博茨瓦纳 南非?/?喜剧,104767人评价,8.7
千钧一发,/?Gattaca,/?变种异煞  /  自然人,导演: 安德鲁·尼科尔 Andrew Niccol???主演: 伊桑·霍克 Ethan Hawke / 乌玛...,1997?/?美国?/?剧情 科幻 惊悚,98463人评价,8.7
大卫·戈尔的一生,/?The Life of David Gale,/?铁案悬谜  /  命悬一线,导演: Alan Parker???主演: 凯文·史派西 Kevin Spacey / 凯特·温丝莱特 Kat...,2003?/?美国 德国 英国?/?剧情 犯罪 悬疑,107698人评价,8.6
蓝色大门,/?藍色大門,/?蓝色夏恋  /  Blue Gate Crossing,导演: 易智言 Chih-yen Yee???主演: 陈柏霖 Bo-lin Chen / 桂纶镁 Lunmei Kwa...,2002?/?台湾 法国?/?剧情 爱情 同性,292313人评价,8.3
