电影名,英文名,又名,导演/主演,年份/国别/类型,评论人数,评分
指环王2：双塔奇兵,/?The Lord of the Rings: The Two Towers,/?魔戒二部曲：双城奇谋  /  指环王II：双塔,导演: 彼得·杰克逊 Peter Jackson???主演: 伊利亚·伍德 Elijah Wood / 西恩...,2002?/?美国 新西兰?/?剧情 动作 奇幻 冒险,324931人评价,9
指环王1：魔戒再现,/?The Lord of the Rings: The Fellowship of the Ring,/?魔戒首部曲：魔戒现身  /  指环王I：护戒使者,导演: 彼得·杰克逊 Peter Jackson???主演: 伊利亚·伍德 Elijah Wood / 西恩...,2001?/?新西兰 美国?/?剧情 动作 奇幻 冒险,363906人评价,8.9
美丽心灵,/?A Beautiful Mind,/?有你终生美丽(港)  /  美丽境界(台),导演: 朗·霍华德 Ron Howard???主演: 罗素·克劳 Russell Crowe / 艾德·哈...,2001?/?美国?/?传记 剧情,363020人评价,8.9
饮食男女,/?飲食男女,/?Eat Drink Man Woman,导演: 李安 Ang Lee???主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,1994?/?台湾 美国?/?剧情 家庭,249089人评价,9.1
情书,/?Love Letter,/?When I Close My Eyes  /  Letters of Love,导演: 岩井俊二 Shunji Iwai???主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...,1995?/?日本?/?剧情 爱情,444406人评价,8.8
素媛,/???,/?许愿  /  希望：为爱重生(台),导演: 李濬益 Jun-ik Lee???主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,2013?/?韩国?/?剧情,233376人评价,9.1
狮子王,/?The Lion King,/?狮子王3D,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff???主演: 乔纳森·泰勒·托马...,1994?/?美国?/?剧情 动画 冒险 歌舞 家庭,341332人评价,8.9
美国往事,/?Once Upon a Time in America,/?四海兄弟(台)  /  义薄云天(港),导演: 赛尔乔·莱翁内 Sergio Leone???主演: 罗伯特·德尼罗 Robert De Niro ...,1984?/?意大利 美国?/?犯罪 剧情,207175人评价,9.1
钢琴家,/?The Pianist,/?战地琴声(台)  /  战地琴人,导演: 罗曼·波兰斯基 Roman Polanski???主演: 艾德里安·布洛迪 Adrien Brod...,2002?/?法国 德国 英国 波兰?/?剧情 传记 历史 战争 音乐,239538人评价,9.1
小鞋子,/??????? ?????,/?天堂的孩子  /  小童鞋,导演: 马基德·马基迪 Majid Majidi???主演: Amir Farrokh Hashemian / 默罕...,1997?/?伊朗?/?剧情 家庭 儿童,172030人评价,9.2
七宗罪,/?Se7en,/?火线追缉令(台)  /  7宗罪,导演: 大卫·芬奇 David Fincher???主演: 摩根·弗里曼 Morgan Freeman / 布...,1995?/?美国?/?剧情 犯罪 悬疑 惊悚,502672人评价,8.8
被嫌弃的松子的一生,/?嫌われ松子の一生,/?花样奇缘(港)  /  令人讨厌的松子的一生(台),导演: 中岛哲也 Tetsuya Nakashima???主演: 中谷美纪 Miki Nakatani / 瑛太 E...,2006?/?日本?/?剧情 歌舞,358160人评价,8.9
